activity_id,characters,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F1_diag,F2_diag,F3_diag,F4_diag,F5_diag,F6_diag,F7_diag,F8_diag,F9_diag,F10_diag,F11_diag,F12_diag,F13_diag,F14_diag,F15_diag,F16_diag,F17_diag,F18_diag,F19_diag,F20_diag,F21_diag,F22_diag,F23_diag,F24_diag,F25_diag,F26_diag,F27_diag,F28_diag,F29_diag,F30_diag
1,703,1,1,2,3,0,3,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,3,0,0,3,0,0,0,1,0,"{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": false, ""has_standard"": false}","{""distinct"": 3}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""R"": false, ""W"": true, ""L"": true, ""S"": true, ""concept_tied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 2}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 2, ""hits"": 2, ""sec_cov"": 1, ""integration"": true}","{""higher_bloom"": 0, ""lower_bloom"": 0, ""open_q"": 0, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 0}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": false, ""W"": true, ""L"": true, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 5, ""pacing_markers"": 0, ""multiple_phases"": true, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 0, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": false, ""tied_to_objectives"": false, ""diverse_formats"": 0}"
2,3893,1,1,3,2,0,2,3,0,2,1,3,2,0,2,1,1,0,0,0,3,0,2,0,0,2,0,1,0,0,1,"{""distinct"": 1, ""hits"": 2, ""sec_cov"": 1, ""integration"": false, ""cap_applied"": true}","{""distinct"": 2, ""hits"": 2, ""sec_cov"": 1, ""integration"": true, ""cap_applied"": false}","{""fk"": null, ""has_grade"": true, ""has_standard"": false}","{""distinct"": 2}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""R"": false, ""W"": true, ""L"": false, ""S"": true, ""concept_tied"": true}","{""distinct"": 2, ""hits"": 4, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 2}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 2, ""hits"": 7, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 3}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""higher_bloom"": 1, ""lower_bloom"": 0, ""open_q"": 0, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 1}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 2, ""hits"": 5, ""sec_cov"": 2, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": false, ""W"": true, ""L"": false, ""S"": true}","{""reason"": ""no objective""}","{""ratio"": 0.0, ""aligned"": 0, ""n_steps"": 5}","{""active_verbs"": 2, ""pacing_markers"": 0, ""multiple_phases"": true, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 1, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": false, ""tied_to_objectives"": false, ""diverse_formats"": 2}"
3,3495,2,0,4,3,0,3,0,0,0,0,1,4,1,1,2,0,0,0,0,3,0,3,0,0,2,0,0,0,0,1,"{""distinct"": 2, ""hits"": 9, ""sec_cov"": 3, ""integration"": false, ""cap_applied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": true, ""has_standard"": true}","{""distinct"": 4}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""R"": false, ""W"": true, ""L"": true, ""S"": true, ""concept_tied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 5}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""higher_bloom"": 5, ""lower_bloom"": 1, ""open_q"": 8, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 2}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 2, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": false, ""W"": true, ""L"": true, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 1, ""pacing_markers"": 0, ""multiple_phases"": true, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 0, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": true, ""tied_to_objectives"": false, ""diverse_formats"": 2}"
4,2238,2,0,2,1,1,1,1,0,1,0,2,1,0,2,2,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,"{""distinct"": 1, ""hits"": 4, ""sec_cov"": 2, ""integration"": false, ""cap_applied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": false, ""has_standard"": true}","{""distinct"": 1}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 1, ""integration"": false}","{""R"": false, ""W"": false, ""L"": false, ""S"": true, ""concept_tied"": true}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 1, ""integration"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 1, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""distinct"": 2}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""higher_bloom"": 1, ""lower_bloom"": 2, ""open_q"": 1, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 2}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 1, ""integration"": true}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 2, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": false, ""W"": false, ""L"": false, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 1, ""pacing_markers"": 0, ""multiple_phases"": false, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 0, ""repeated_use"": false}","{""distinct_close"": 1, ""distinct_full"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": true, ""tied_to_objectives"": false, ""diverse_formats"": 1}"
5,4737,2,0,2,4,0,4,0,0,4,0,2,4,0,2,1,1,0,0,0,3,0,4,0,0,2,0,3,0,0,1,"{""distinct"": 1, ""hits"": 14, ""sec_cov"": 3, ""integration"": false, ""cap_applied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": false, ""has_standard"": false}","{""distinct"": 5}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""R"": true, ""W"": true, ""L"": true, ""S"": true, ""concept_tied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 4}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 1, ""hits"": 8, ""sec_cov"": 3, ""integration"": false}","{""distinct"": 5}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 8, ""sec_cov"": 3, ""integration"": false}","{""higher_bloom"": 4, ""lower_bloom"": 3, ""open_q"": 0, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 1}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 3, ""hits"": 9, ""sec_cov"": 3, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": true, ""W"": true, ""L"": true, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 2, ""pacing_markers"": 0, ""multiple_phases"": true, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 2, ""repeated_use"": true}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": true, ""tied_to_objectives"": false, ""diverse_formats"": 2}"
6,2481,2,1,2,4,1,4,2,0,0,2,4,4,4,3,1,0,1,0,1,0,0,4,0,0,2,0,0,0,1,0,"{""distinct"": 1, ""hits"": 6, ""sec_cov"": 2, ""integration"": false, ""cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": false, ""has_standard"": false}","{""distinct"": 5}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""R"": true, ""W"": true, ""L"": true, ""S"": true, ""concept_tied"": true}","{""distinct"": 1, ""hits"": 10, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 0}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": true, ""partial_recovery_cap_applied"": true}","{""distinct"": 3, ""hits"": 12, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 5}","{""distinct"": 3, ""hits"": 3, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 2, ""integration"": true}","{""higher_bloom"": 5, ""lower_bloom"": 0, ""open_q"": 0, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 1}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""only_video_cap"": true}","{""content_app"": false, ""language_app"": false}","{""R"": true, ""W"": true, ""L"": true, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 3, ""pacing_markers"": 0, ""multiple_phases"": false, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 0, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 1, ""integration"": false}","{""multiple_moments"": false, ""formative"": false, ""summative"": false, ""tied_to_objectives"": false, ""diverse_formats"": 1}"
7,8136,2,0,2,2,0,2,2,3,3,1,2,1,1,1,3,3,3,0,0,3,2,2,0,0,2,0,0,2,1,2,"{""distinct"": 2, ""hits"": 8, ""sec_cov"": 3, ""integration"": false, ""cap_applied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false, ""cap_applied"": true}","{""fk"": null, ""has_grade"": false, ""has_standard"": true}","{""distinct"": 2}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""R"": false, ""W"": true, ""L"": false, ""S"": true, ""concept_tied"": true}","{""distinct"": 1, ""hits"": 5, ""sec_cov"": 2, ""integration"": false}","{""distinct"": 2, ""hits"": 4, ""sec_cov"": 2, ""integration"": true}","{""distinct"": 3}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": true}","{""distinct"": 2}","{""distinct"": 3, ""hits"": 3, ""sec_cov"": 1, ""integration"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""higher_bloom"": 1, ""lower_bloom"": 6, ""open_q"": 3, ""compare"": 0, ""q_header"": true, ""argumentation"": false, ""cats_present"": 3}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 2, ""hits"": 4, ""sec_cov"": 2, ""integration"": true, ""only_video_cap"": false}","{""content_app"": true, ""language_app"": false}","{""R"": false, ""W"": true, ""L"": false, ""S"": true}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 3, ""pacing_markers"": 0, ""multiple_phases"": false, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 0, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 3}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""multiple_moments"": true, ""formative"": true, ""summative"": false, ""tied_to_objectives"": false, ""diverse_formats"": 3}"
8,3952,2,1,2,3,2,0,2,2,4,1,0,2,1,0,1,3,2,0,0,1,0,0,0,0,2,0,1,0,1,1,"{""distinct"": 2, ""hits"": 2, ""sec_cov"": 2, ""integration"": false, ""cap_applied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""cap_applied"": false}","{""fk"": null, ""has_grade"": false, ""has_standard"": false}","{""distinct"": 4}","{""distinct"": 1, ""hits"": 2, ""sec_cov"": 2, ""integration"": false}","{""R"": false, ""W"": false, ""L"": false, ""S"": false, ""concept_tied"": true}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": true}","{""distinct"": 1, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""distinct"": 5}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""partial_recovery_cap_applied"": true}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 3}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""higher_bloom"": 2, ""lower_bloom"": 2, ""open_q"": 0, ""compare"": 0, ""q_header"": false, ""argumentation"": false, ""cats_present"": 1}","{""distinct"": 2, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""distinct"": 1, ""hits"": 3, ""sec_cov"": 2, ""integration"": false}","{""detected"": false, ""duration"": false}","{""distinct"": 0, ""hits"": 0, ""sec_cov"": 0, ""integration"": false}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false, ""only_video_cap"": false}","{""content_app"": false, ""language_app"": false}","{""R"": false, ""W"": false, ""L"": false, ""S"": false}","{""reason"": ""no objective""}","{""reason"": ""no objective""}","{""active_verbs"": 1, ""pacing_markers"": 0, ""multiple_phases"": true, ""long_passive"": false}","{""time_markers"": 0, ""has_total"": false, ""has_differentiation"": false}","{""distinct_close"": 1, ""repeated_use"": false}","{""distinct_close"": 0, ""distinct_full"": 1}","{""distinct"": 1, ""hits"": 1, ""sec_cov"": 1, ""integration"": false}","{""multiple_moments"": true, ""formative"": true, ""summative"": false, ""tied_to_objectives"": false, ""diverse_formats"": 1}"
